ID - KNIP	ID - BAG	Company	belongs to		Checked	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	reviews	Gesammt Rating	Leistungsrückerstattung	Kundenzufriedenheit	Erreichbarkeit (Öffnungszeiten)	Erreichbarkeit (Kanal)	Knip Weiterempfehlung	positive	negative
?	820	Cassa da malsauns LUMNEZIANA			Für Vorversicherungs Vergleich	Yes	Nein	yes	Postfach 41   7144 Vella   Tel. 081 931 35 35   Fax 081 936 81 66   info@lumneziana.ch		-	-			8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
?	1575	Compact Grundversicherungen AG	Ein Angebot der Sanitas	Sanitas	Compact ist ein Tarif der Sanits  ist unter Santias wählbar. Tarif  muss nicht separat aufgelistet werden	yes	Ja	yes	Jägergasse 3   Postfach 2010   8021 Zürich   Tel. 044 298 63 00   Fax 044 298 62 50   info@sanitas.com   www.sanitas.com		sanitas.png	Die Sanitas Krankenversicherung mit Sitz in Zürich ist ein auf die Krankenversicherungspezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählte Anfang 2014 rund 824'000 Versicherte und erzielte 2013 mit knapp 700 Mitarbeitern Prämieneinnahmen von 2,484 Milliarden Schweizer Franken. Damit finanzierte Sanitas Versicherungsleistungen in Höhe von 2,338 Milliarden Schweizer Franken.  Die Gruppe verfügt über eine Holdingstruktur und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung (Sanitas, Wincare und Compact) und der Zusatzversicherungen (Sanitas und Wincare) tätig sind. Die in der Rechtsform einer Stiftung organisierte Sanitas Krankenversicherung bildet die Dachgesellschaft.  Das Kerngeschäft der Sanitas Gruppe ist die Grundversicherung nach demKrankenversicherungsgesetz, die rund 71 Prozent der gesamten Prämieneinnahmen ausmacht. Die Sparte mit den Zusatzversicherungen ist das zweite Standbein.		N/A	9	9	9	9	9	9	Sehr freundlich  Guter Service	Gut erreichbar
26	290	CONCORDIA Schweiz.  Kranken- und Unfallversicherung AG	-		yes	Yes	Nein	yes	Bundesplatz 15   6002 Luzern   Tel. 041 228 01 11   Fax 041 228 02 10   info@concordia.ch    www.concordia.ch		concordia.png	Die Concordia Schweizerische Kranken- und Unfallversicherung AG mit Sitz in Luzern ist ein auf die Krankenversicherung und Unfallversicherung spezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählt rund 774'000 Versicherte und erzielte 2015 mit 1'200 Mitarbeitenden einen Umsatz von 2.5 Milliarden Schweizer Franken.  Der Versicherer ist mit vier Servicecentern und rund 240 Agenturen und Geschäftsstellen in der Schweiz vertreten. Zusätzlich verfügt die Concordia über eine Landesvertretung im Fürstentum Liechtenstein.  Die Krankenversicherung mit Grund- und Zusatzversicherung sowie die Unfallversicherung bilden das Kerngeschäft der Concordia-Gruppe. Es wird geführt durch die beiden Aktiengesellschaften Concordia Schweizerische Kranken- und Unfallversicherung AG und Concordia Versicherungen AG:  Die Concordia Schweizerische Kranken- und Unfallversicherung AG führt die Krankenversicherung nach schweizerischem und liechtensteinischem Krankenversicherungsgesetz (KVG) sowie die Unfallversicherung nach schweizerischem Unfallversicherungsgesetz (UVG) durch. Die Concordia Versicherungen AG bietet Kranken- und Unfallversicherungen sowie Lebensversicherungen nach schweizerischem Versicherungsvertragsgesetz (VVG) an.  Der Konzern verfügt über eine Holdingstruktur. Zur Holding der Concordia -Gruppe gehören neben den beiden operativ tätigen Versicherungs-Gesellschaften auch drei Stiftungen und mehrere Unternehmen, an denen die Concordia beteiligt ist. Darunter fallen Gesellschaften im Bereich der Unfallversicherung, der medizinischen Versorgung sowie ein Hotel. Das oberste Dach der Gruppe bildet der Verein Concordia Schweizerische Kranken- und Unfallversicherung.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
2	8	CSS Krankenversicherung AG	-	-	yes	Yes	Nein	yes	Tribschenstrasse 21   Postfach 2568   6002 Luzern   Tel. 058 277 11 11   Fax 058 277 12 12   css.info@css.ch   www.css.ch		css_versicherung_ag	Die CSS Krankenkasse gehört zur CSS Holding AG. Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Ende 2014 hatten rund 1,28 Millionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesamt sind etwa 1,7 Millionen Kunden bei der CSS versichert. Die Prämieneinnahmen steigen um 2,5 Prozent auf 5.379 Mrd. Franken. Damit zählt CSS zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet. Betreut werden die Kunden von etwa 2.650 Mitarbeitern am Hauptsitz sowie in den verschiedenen Büros vor Ort.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
96	774	Easy Sana	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Yes	Nein	yes	Groupe Mutuel   Krankenversicherung Easy Sana   Rue des Cèdres 5   1920 Martigny   Tel. 0848 803 111   Fax 0848 803 112   info@groupemutuel.ch   www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
40	881	EGK Grundversicherungen	-	-	yes	Yes	Nein	yes	Brislachstrasse 2   Postfach   4242 Laufen   Tel. 061 765 51 11   Fax 061 765 51 12   info@egk.ch    www.egk.ch		egk.png	Die EGK-Gesundheitskasse beschäftigt aktuell 229 Mitarbeiter (Stand: März 2013) und hat ihren Sitz in Laufen im Kanton Basel-Landschaft. Der Geschäftsleiter des Unternehmens ist Dr. Reto Flury, der Präsident des Stiftungsrats ist seit dem Jahr 2004 Alex Kummer.  Im Jahr 2013 konnte die EGK-Gesundheitskasse einen Jahresumsatz von 498 Mio. CHF erzielen.  Die Versicherten der EGK-Gesundheitskasse können über die gesetzliche Pflichtkrankenversicherung hinaus private Zusatzversicherungen abschließen. So gibt es die Möglichkeit, mehr zu bezahlen und dafür freie Arztwahl in der Schweiz bei ambulanten Behandlungen zu erhalten. Auch für Auslandsaufenthalte bietet die EGK unterschiedliche Zusatzversicherungen an. Auch wer Wert darauf legt, naturmedizinische Behandlungen von der Krankenkasse bezahlt zu bekommen, kann hierfür eine spezielle Zusatzversicherung abschließen.  Dennoch bleibt die Grundversicherung nach dem Krankenversicherungsgesetz das Hauptgeschäft des Unternehmens: Es nimmt einen Anteil von 78% der gesamten Prämieneinnahmen in Anspruch.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
?	1507	Fondation AMB	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	nein	Nein	nein	AMB  Assurance maladie et accidents  Route de Verbier 13  1934 Le Châble  Tél. 058 758 60 70  Fax: 058 758 60 89  E-mail: info@amb-assurance.ch   www.amb-assurance.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
62	1386	GALENOS Kranken- und Unfallversicherung	-	-	Yes	Yes	Ja	yes	Militärstrasse 36   Postfach   8021 Zürich   Tel. 044 245 88 88    Fax 044 245 88 99   info@galenos.ch    www.galenos.ch		galenos.png	Die Galenos Versicherung hat ihren Sitz in Zürich und ist in der ganzen Schweiz über ihre Internetseite telefonisch sowie per E-Mail erreichbar. Da es sich um eine sehr kleine und überschaubare Versicherung handelt, was von der Führung vor allem auch so gewollt ist, sind auch die Verwaltungskosten gering. Dies zeigt sich auch bei den Kosten für die angebotenen Versicherungen. Zudem hat es sich die Krankenversicherung zur Aufgabe gemacht, ihre Kunden bestmöglich und kundennah zu betreuen. Daher hat sie sich auf die Kranken- und die Unfallversicherung spezialisiert und in diesem Bereich werden viele verschiedene Versicherungsarten anboten. Neben der Krankengrundversicherung kann der Versicherte zwischen vielen Zusatzversicherungen, zum Beispiel für Zahnersatz, Unfall oder einer Reiseversicherung wählen.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
?	1491	Gewerbliche Krankenkasse Bern			Für Vorversicherungs Vergleich	nein	nein	nein	Neuengasse 20   Postfach 414   3000 Bern 7   Tel. 031 310 11 11   Fax 031 310 11 22   gvb@gewerbebern.ch		-				7,6	7	7	8	8	8	Sehr freundlich  Guter Service	Schwer erreichbar
63	780	Glarner Krankenversicherung	-	-	yes	Yes	Nein	yes	Glarner Kranekversicherung   Sernftalstrasse 33  8762 Schwanden    Tel. 055 642 25 25   Fax 055 642 25 45   info@glkv.ch    www.glkv.ch		glarner_krankenversicherung.png	Heute hat die Glarner Krankenversicherung zwei Standorte in Elm, dem Hauptsitz und in Luchsingen mit einer Nebenstelle. Da die Versicherung sich noch immer im Wachstum befindet, werden auch immer wieder Stellen und Ausbildungsplätze angeboten. Im Gebiet Glarus hat die Glarner Krankenversicherung zudem einen Marktanteil von 17,9 %, ist aber auch in den Gebieten Graubünden, Uri, St. Gallen und Schwyz tätig. Die Glarner Versicherung hatte laut Geschäftsbericht im Jahr 2012 einen Zuwachs von 251 Mitgliedern und wies im gleichen Jahr einen Gewinn von CHF 781.180,29 auf.  Zwei Standorte mit insgesamt sechs Mitarbeitern betreuen die Krankenversicherten kundennah und persönlich. Da es sich um eine kleine Versicherungsgesellschaft handelt, sind alle Kunden natürlich den Mitarbeitern auch bekannt. Neben der Grundversicherung bietet die Glarner Krankenversicherung auch einige interessante Zusatzversicherungen an. So kann der Versicherte sich zum Beispiel für Zusatzversicherungen für die Kosten von Brillen, Zahnersatzkosten oder auch Naturheilverfahren entscheiden. Diese Kosten werden von vielen Krankenkassen gar nicht erst berücksichtigt oder übernommen. Aber die Glarner Krankenversicherung ist nicht nur eine reine Krankenkasse, die die Kosten einer Behandlung übernimmt. Der Kunde kann sich hier auch für eine eventuelle Invalidität bedingt durch einen Unfall oder eine Krankheit versichern lassen, Unternehmen oder Einzelpersonen können eine Erwerbsausfall-Versicherung abschließen und bei Bedarf in Anspruch nehmen.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
5	1562	Helsana Versicherungen AG   Helsana Assurances SA   Helsana Assicurazioni SA	-	-	yes	Yes	Nein	yes	Helsana-Gruppe   Helsana Versicherungen AG   Postfach   8081 Zürich   Tel. 043 340 11 11   Fax 043 340 01 11   www.helsana.ch		helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und verfügt über ein schweizweites Netz von 22 Generalagenturen und 19 Verkaufsstellen.   Der Konzern umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Aerosana, eine weitere ehemalige Tochtergesellschaft, fusionierte per 1. Januar 2011 mit Progrès.  Das Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach demKrankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
?	1520	HOTELA Krankenkasse   HOTELA Caisse maladie	-	-	Für Vorversicherungs Vergleich	nein	nein	nein	Rue de la Gare 18   1820 Montreux   Tel. 021 962 49 49   Fax 021 962 48 48    welcome@hotela.ch   www.hotela.ch		-				7,6	7	7	8	8	8	Sehr freundlich  Guter Service	Schwer erreichbar
?	1573	Indivo Versicherungen AG	Ein Angebot der Helsana	Helsana Gruppe	erledigt	nein	nein	nein	Helsana-Gruppe   Postfach   8081 Zürich   Tel. 043 340 11 11   Fax 043 340 01 11   http://www.helsana.ch						7,6	7	7	8	8	8	Sehr freundlich  Guter Service	Schwer erreichbar
13	1529	INTRAS KrankenVersicherung AG	Ein Angebot der CSS Versicherung AG	CSS Versicherung AG	Yes	Yes	Nein	yes	Tribschenstrasse 21   Postfach 2568   6002 Luzern   Tel. 058 277 11 11   Fax 058 277 12 12   css.info@css.ch   www.css.ch		css_versicherung.png	Die CSS Gruppe mit Hauptsitz in Luzern ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,31 Millionen Versicherten in der obligatorischen Krankenpflegeversicherung ist die CSS der grösste Grundversicherer der Schweiz. Das Unternehmen zählt insgesamt 1,78 Millionen Kunden, weist ein jährliches Prämienvolumen von CHF 5,09 Milliarden aus, beschäftigt 2529 Mitarbeitende und verfügt landesweit über 125 Agenturen.  Die CSS Gruppe besteht aus sieben Gesellschaften, die in der Schweiz das Versicherungsgeschäft betreiben: Die CSS Kranken-Versicherung AG, die INTRAS Kranken-Versicherung AG, die Arcosana AG, die Auxilia Kranken-Versicherung AG und die Sanagate AG betreiben die obligatorische Krankenpflegeversicherung nach dem Krankenversicherungsgesetz KVG. Sie sind dem Bundesamt für Gesundheit unterstellt. Die CSS Versicherung AG und die INTRAS Versicherung AG betreiben das Geschäft mit Kranken-Zusatzversicherungen, kollektiven Krankentaggeldversicherungen, kollektiven Unfallversicherungen sowie weiteren Versicherungsprodukten (Sach und Vermögen, Einzelleben) nach dem Versicherungsvertragsgesetz VVG. Aufsichtsbehörde ist die Eidgenössischen Finanzmarktaufsicht (FINMA). Die Tochtergesellschaft vivit Gesundheits AG bietet umfassende Gesundheitsdienstleistungen und -produkte an, die Tochter MC Makler Consulting AG unterhält eine Vermittlerplattform für Versicherungen und Finanzdienstleistungen.		N/A	8,2	8	7	9	8	9	Sehr freundlich  Guter Service	Schwer erreichbar
