_id,company,belongs_to,purchase,contract,comparison,address,conditions,image,descripion_de,description_en,reviews,gesat_rating,auskunftsqualitat,erreichbarkeit,dauer_der_ruckerstattungen,freundlichkeit,abwicklung_von_anfragen,positive ,negative
290,CONCORDIA Schweiz.\nKranken- und Unfallversicherung AG,,1,0,1,Bundesplatz 15\n 6002 Luzern\n Tel. 041 228 01 11\n Fax 041 228 02 10\n info@concordia.ch \n www.concordia.ch,,concordia.png,Die Concordia Schweizerische Kranken- und Unfallversicherung AG it Sitz in Luzern ist ein auf die Krankenversicherung und Unfallversicherung spezialisierter Schweizer Versicherungskonzern. Die Unternehensgruppe zählt rund 774'000 Versicherte und erzielte 2015 it 1'200 itarbeitenden einen Usatz von 2.5 illiarden Schweizer Franken.\nDer Versicherer ist it vier Servicecentern und rund 240 Agenturen und Geschäftsstellen in der Schweiz vertreten. Zusätzlich verfügt die Concordia über eine Landesvertretung i Fürstentu Liechtenstein.\nDie Krankenversicherung it Grund- und Zusatzversicherung sowie die Unfallversicherung bilden das Kerngeschäft der Concordia-Gruppe. Es wird geführt durch die beiden Aktiengesellschaften Concordia Schweizerische Kranken- und Unfallversicherung AG und Concordia Versicherungen AG:\nDie Concordia Schweizerische Kranken- und Unfallversicherung AG führt die Krankenversicherung nach schweizerische und liechtensteinische Krankenversicherungsgesetz (KVG) sowie die Unfallversicherung nach schweizerische Unfallversicherungsgesetz (UVG) durch. Die Concordia Versicherungen AG bietet Kranken- und Unfallversicherungen sowie Lebensversicherungen nach schweizerische Versicherungsvertragsgesetz (VVG) an.\nDer Konzern verfügt über eine Holdingstruktur. Zur Holding der Concordia -Gruppe gehören neben den beiden operativ tätigen Versicherungs-Gesellschaften auch drei Stiftungen und ehrere Unternehen~~~ an denen die Concordia beteiligt ist. Darunter fallen Gesellschaften i Bereich der Unfallversicherung~~~ der edizinischen Versorgung sowie ein Hotel. Das oberste Dach der Gruppe bildet der Verein Concordia Schweizerische Kranken- und Unfallversicherung.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
8,CSS Krankenversicherung AG,,1,0,1,Tribschenstrasse 21\n Postfach 2568\n 6002 Luzern\n Tel. 058 277 11 11\n Fax 058 277 12 12\n css.info@css.ch\n www.css.ch,,CSS_Versicherung_AG.png,Die CSS Krankenkasse gehört zur CSS Holding AG. Unter deren Dach befinden sich zude auch die Versicherer Arcosana~~~ Intras und Sanagate. Ende 2014 hatten rund 1~~~28 illionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesat sind etwa 1~~~7 illionen Kunden bei der CSS versichert. Die Präieneinnahen steigen u 2~~~5 Prozent auf 5.379 rd. Franken. Dait zählt CSS zu den führenden Schweizer Kranken-~~~ Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet. Betreut werden die Kunden von etwa 2.650 itarbeitern a Hauptsitz sowie in den verschiedenen Büros vor Ort.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
774,Easy Sana Assurance aladie SA\nEasy Sana Krankenversicherung AG\nEasy Sana Assicurazione alattia SA,Ein Angebot der Groupe utuel,1,0,1,Groupe utuel\n Krankenversicherung Easy Sana\n Rue des Cèdres 5\n 1920 artigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupeutuel.ch\n www.groupeutuel.ch,,groupe_mutuel.png,Rund 1~~~2 illionen (1'190'000) Einzelversicherte sind den itgliedskrankenversicherern der Groupe utuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt an die Versicherten it nur einer privaten Zusatzversicherung dazu~~~ beträgt die Versichertenzahl 1~~~4 illionen. Rund 17'000 Unternehen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen~~~ Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe utuel. Der Usatz aller itgliedsgesellschaften übersteigt 4~~~6 illiarden Franken~~~ rund 3~~~7 illiarden staen aus de Bereich Krankenversicherung. Die Krankenversicherer der Groupe utuel bieten ufassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe utuel verwaltet ausserde zwei Vorsorgestiftungen: die schweizweit tätige Groupe utuel Vorsorge und die Walliser Vorsorge~~~ die auf die Unternehen i Kanton Wallis ausgerichtet ist. Die Groupe utuel Leben GV AG deckt den Bereich Lebensversicherungen ab. it ihren verschiedenen Versicherungsgesellschaften ist die Groupe utuel~~~ Association d’assureurs~~~ ein ufassendes Unternehen~~~ das Einzelpersonen sowie Unternehen it bedarfsgerechten Versicherungslösungen unterstützt.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
881,EGK Grundversicherungen,,1,0,1,Brislachstrasse 2\n Postfach\n 4242 Laufen\n Tel. 061 765 51 11\n Fax 061 765 51 12\n info@egk.ch \n www.egk.ch,,egk.png,Die EGK-Gesundheitskasse beschäftigt aktuell 229 itarbeiter (Stand: ärz 2013) und hat ihren Sitz in Laufen i Kanton Basel-Landschaft. Der Geschäftsleiter des Unternehens ist Dr. Reto Flury~~~ der Präsident des Stiftungsrats ist seit de Jahr 2004 Alex Kuer.\nI Jahr 2013 konnte die EGK-Gesundheitskasse einen Jahresusatz von 498 io. CHF erzielen.\nDie Versicherten der EGK-Gesundheitskasse können über die gesetzliche Pflichtkrankenversicherung hinaus private Zusatzversicherungen abschließen. So gibt es die öglichkeit~~~ ehr zu bezahlen und dafür freie Arztwahl in der Schweiz bei abulanten Behandlungen zu erhalten. Auch für Auslandsaufenthalte bietet die EGK unterschiedliche Zusatzversicherungen an. Auch wer Wert darauf legt~~~ naturedizinische Behandlungen von der Krankenkasse bezahlt zu bekoen~~~ kann hierfür eine spezielle Zusatzversicherung abschließen.\nDennoch bleibt die Grundversicherung nach de Krankenversicherungsgesetz das Hauptgeschäft des Unternehens: Es nit einen Anteil von 78% der gesaten Präieneinnahen in Anspruch.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1507,Fondation AB,Ein Angebot der Groupe utuel,0,0,0,Route de Verbier 13\n 1934 Le Châble\n Tel. 058 758 60 70\n Fax 058 758 60 89\n info@ab-assurance.ch \n www.ab-assurance.ch,,,Rund 1~~~2 illionen (1'190'000) Einzelversicherte sind den itgliedskrankenversicherern der Groupe utuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt an die Versicherten it nur einer privaten Zusatzversicherung dazu~~~ beträgt die Versichertenzahl 1~~~4 illionen. Rund 17'000 Unternehen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen~~~ Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe utuel. Der Usatz aller itgliedsgesellschaften übersteigt 4~~~6 illiarden Franken~~~ rund 3~~~7 illiarden staen aus de Bereich Krankenversicherung. Die Krankenversicherer der Groupe utuel bieten ufassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe utuel verwaltet ausserde zwei Vorsorgestiftungen: die schweizweit tätige Groupe utuel Vorsorge und die Walliser Vorsorge~~~ die auf die Unternehen i Kanton Wallis ausgerichtet ist. Die Groupe utuel Leben GV AG deckt den Bereich Lebensversicherungen ab. it ihren verschiedenen Versicherungsgesellschaften ist die Groupe utuel~~~ Association d’assureurs~~~ ein ufassendes Unternehen~~~ das Einzelpersonen sowie Unternehen it bedarfsgerechten Versicherungslösungen unterstützt.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1386,GALENOS Kranken- und Unfallversicherung\nAssurance-aladie et accidents\nAssicurazione-alattia e infortuni,,1,1,1,ilitärstrasse 36\n Postfach\n 8021 Zürich\n Tel. 044 245 88 88 \n Fax 044 245 88 99\n info@galenos.ch \n www.galenos.ch,,galenos.png,Die Galenos Versicherung hat ihren Sitz in Zürich und ist in der ganzen Schweiz über ihre Internetseite telefonisch sowie per E-ail erreichbar. Da es sich u eine sehr kleine und überschaubare Versicherung handelt~~~ was von der Führung vor alle auch so gewollt ist~~~ sind auch die Verwaltungskosten gering. Dies zeigt sich auch bei den Kosten für die angebotenen Versicherungen. Zude hat es sich die Krankenversicherung zur Aufgabe geacht~~~ ihre Kunden bestöglich und kundennah zu betreuen. Daher hat sie sich auf die Kranken- und die Unfallversicherung spezialisiert und in diese Bereich werden viele verschiedene Versicherungsarten anboten. Neben der Krankengrundversicherung kann der Versicherte zwischen vielen Zusatzversicherungen~~~ zu Beispiel für Zahnersatz~~~ Unfall oder einer Reiseversicherung wählen.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
780,Genossenschaft\nGlarner Krankenversicherung,,1,0,1,Säge 5\n 8767 El\n Tel. 055 642 25 25\n Fax 055 642 25 45\n info@glkv.ch \n www.glkv.ch,,glarner_krankenversicherung.png,Heute hat die Glarner Krankenversicherung zwei Standorte in El~~~ de Hauptsitz und in Luchsingen it einer Nebenstelle. Da die Versicherung sich noch ier i Wachstu befindet~~~ werden auch ier wieder Stellen und Ausbildungsplätze angeboten. I Gebiet Glarus hat die Glarner Krankenversicherung zude einen arktanteil von 17~~~9 %~~~ ist aber auch in den Gebieten Graubünden~~~ Uri~~~ St. Gallen und Schwyz tätig. Die Glarner Versicherung hatte laut Geschäftsbericht i Jahr 2012 einen Zuwachs von 251 itgliedern und wies i gleichen Jahr einen Gewinn von CHF 781.180~~~29 auf.\nZwei Standorte it insgesat sechs itarbeitern betreuen die Krankenversicherten kundennah und persönlich. Da es sich u eine kleine Versicherungsgesellschaft handelt~~~ sind alle Kunden natürlich den itarbeitern auch bekannt. Neben der Grundversicherung bietet die Glarner Krankenversicherung auch einige interessante Zusatzversicherungen an. So kann der Versicherte sich zu Beispiel für Zusatzversicherungen für die Kosten von Brillen~~~ Zahnersatzkosten oder auch Naturheilverfahren entscheiden. Diese Kosten werden von vielen Krankenkassen gar nicht erst berücksichtigt oder übernoen. Aber die Glarner Krankenversicherung ist nicht nur eine reine Krankenkasse~~~ die die Kosten einer Behandlung übernit. Der Kunde kann sich hier auch für eine eventuelle Invalidität bedingt durch einen Unfall oder eine Krankheit versichern lassen~~~ Unternehen oder Einzelpersonen können eine Erwerbsausfall-Versicherung abschließen und bei Bedarf in Anspruch nehen. ,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
246,Genossenschaft Krankenkasse Steffisburg,,1,0,1,Unterdorfstrasse 37\n Postfach\n 3612 Steffisburg\n Tel. 033 439 40 20\n Fax 033 439 40 29\n info@kkst.ch \n www.kkst.ch,,krankenkasse_setffisburg.png,Die Krankenkasse Steffisburg ist eine regional tätige Krankenkasse. Sie hat Ihren Hauptsitz~~~ wie der Nae schon sagt~~~ in Steffisburg und ist dort überwiegend regional tätig. Aber natürlich ist sie auch über zentrale Telefonnuer und den E-ail-Kontakt zu erreichen. Die Krankenkasse Steffisburg ist eine sehr kleine Versicherung it gerade al eine Geschäftsführer sowie acht itarbeitern und itarbeiterinnen. Hier ist vor alle eine persönliche Beratung der Versicherten gewährleistet. Neben der Grundversicherung sowie der Unfallversicherung bietet die Krankenkasse Steffisburg natürlich auch viele Zusatzversicherungen an~~~ zu Beispiel eine Zahnkostenversicherung oder eine Versicherung~~~ it der eventuelle Krankenhauskosten und Rettungskosten abgegolten werden. De Unternehen ist es vor alle wichtig~~~ sich gerade für die Anliegen Ihrer Versicherten stark zu achen. Dieses Konzept verfolgt sie nun seit über 150 Jahren. In de Geschäftsbericht von 2012 kann an jedoch ersehen~~~ dass der Versichertenbestand u ungefähr 21 % zu Vorjahr zurückgegangen ist. Das Jahr 2012 schloss it eine Gewinn von 689.133~~~52 CHF ab. Dies waren circa 40 % Gewinn weniger als i Vorjahr.,,N/A,7.8,7,7,8,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1491,Gewerbliche Krankenkasse Bern,,0,0,0,Neuengasse 20\n Postfach 414\n 3000 Bern 7\n Tel. 031 310 11 11\n Fax 031 310 11 22\n gvb@gewerbebern.ch,,,,,,7.6,7,7,8,8,8,Sehr freundlich\nGuter Service,Schwer erreichbar
1562,Helsana Versicherungen AG\n Helsana Assurances SA\n Helsana Assicurazioni SA,,1,0,1,Helsana-Gruppe\n Helsana Versicherungen AG\n Postfach\n 8081 Zürich\n Tel. 043 340 11 11\n Fax 043 340 01 11\n www.helsana.ch,,Helsana.png,Die Helsana AG it Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. it 1~~~9 illionen Versicherten und Präieneinnahen von 6 illiarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehensgruppe beschäftigt rund 3000 itarbeitende und verfügt über ein schweizweites Netz von 22 Generalagenturen und 19 Verkaufsstellen. \nDer Konzern ufasst fünf operativ tätige Tochtergesellschaften~~~ die auf den Gebieten der Grundversicherung~~~ der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Naen Helsana~~~ Progrès~~~ Sansan und Avanex als eigenständige arken a arkt auf. Aerosana~~~ eine weitere ehealige Tochtergesellschaft~~~ fusionierte per 1. Januar 2011 it Progrès.\nDas Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach deKrankenversicherungsgesetz und generiert dait rund 70 Prozent der gesaten Präieneinnahen. Die Sparte Zusatzversicherungen bildet it 27 Prozent der Präieneinnahen das zweite Standbein. Daneben bietet die Gruppe Unternehen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.,,N/A,8.2,8,7,9,8,9,Sehr freundlich\nGuter Service,Schwer erreichbar
1520,HOTELA Krankenkasse\nHOTELA Caisse aladie,,0,0,0,Rue de la Gare 18\n 1820 ontreux\n Tel. 021 962 49 49\n Fax 021 962 48 48 \n welcoe@hotela.ch\n www.hotela.ch,,,,,,7.6,7,7,8,8,8,Sehr freundlich\nGuter Service,Schwer erreichbar
1573,indivo Versicherungen AG\n indivo Assurances SA\n indivo Assicurazioni SA,Ein Produkt der Helsana,0,0,0,Helsana-Gruppe\n indivo Versicherungen AG\n Postfach\n 8081 Zürich\n Tel. 043 340 11 17\n Fax 043 340 01 17\n www.indivo.ch,,,,,,7.6,7,7,8,8,8,Sehr freundlich\nGuter Service,Schwer erreichbar
