Versicherer	Kanton	Geschäftsjahr	Region	HMO	HMO-ID	HMO-Name	Strasse	PLZ	Ort
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9444	Santémed Gesundheitszentrum	Vordere Kirchstrasse 8	9444	Diepoldsau
0008	AR	2016	PR-REG CH0	01_016_12900	hmo9630B	Santémed Gesundheitszentrum	Bahnhofstrasse 4	9630	Wattwil
0008	BE	2016	PR-REG CH1	01_016_03100	hmo2503	Sanacare Gruppenpraxis	Neumarktstrasse 27	2503	Biel/Bienne
0008	BE	2016	PR-REG CH1	01_016_02500	hmo3011B10	Sanacare Gruppenpraxis	Bubenbergplatz 10	3011	Bern
0008	BE	2016	PR-REG CH1	01_016_12900	hmo3011Sch	Santémed Gesundheitszentrum	Schwanengasse 10/12	3011	Bern
0008	BE	2016	PR-REG CH1	01_016_06600	hmo3014T	Monvia Gesundheitszentrum Bern	Tellstrasse 32	3014	Bern
0008	BE	2016	PR-REG CH2	01_016_03100	hmo2503	Sanacare Gruppenpraxis	Neumarktstrasse 27	2503	Biel/Bienne
0008	BE	2016	PR-REG CH2	01_016_02500	hmo3011B10	Sanacare Gruppenpraxis	Bubenbergplatz 10	3011	Bern
0008	BE	2016	PR-REG CH2	01_016_12900	hmo3011Sch	Santémed Gesundheitszentrum	Schwanengasse 10/12	3011	Bern
0008	BE	2016	PR-REG CH2	01_016_06600	hmo3014T	Monvia Gesundheitszentrum Bern	Tellstrasse 32	3014	Bern
0008	BL	2016	PR-REG CH1	01_016_12900	hmo4051H	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0008	BL	2016	PR-REG CH1	01_016_05100	hmo4051S	CENTRAMED Basel	Sternengasse 21	4051	Basel
0008	BL	2016	PR-REG CH2	01_016_12900	hmo4051H	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0008	BL	2016	PR-REG CH2	01_016_06200	hmo4600F	Monvia Gesundheitszentrum Olten	Froburgstrasse 4	4600	Olten
0008	BS	2016	PR-REG CH0	01_016_12900	hmo4051H	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0008	BS	2016	PR-REG CH0	01_016_05100	hmo4051S	CENTRAMED Basel	Sternengasse 21	4051	Basel
0008	BS	2016	PR-REG CH0	01_016_05600	hmo4125	CENTRAMED Riehen	Schützengasse 37	4125	Riehen
0008	FR	2016	PR-REG CH2	01_016_12900	hmo3011Sch	Santémed Gesundheitszentrum	Schwanengasse 10/12	3011	Bern
0008	LU	2016	PR-REG CH1	01_016_05000	hmo6003F	Centramed Praxis HMO	Frankenstrasse 2	6003	Luzern
0008	LU	2016	PR-REG CH1	01_016_03200	hmo6003O	Sanacare Gruppenpraxis 	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0008	LU	2016	PR-REG CH1	01_016_02600	hmo6004	Sanacare Gruppenpraxis 	Löwencenter / Zürichstrasse 9	6004	Luzern
0008	LU	2016	PR-REG CH1	01_016_06700	hmo6004S	Monvia Gesundheitszentrum Luzern	Spitalstrasse 40	6004	Luzern
0008	LU	2016	PR-REG CH1	01_016_06300	hmo6034	Monvia Gesundheitszentrum Inwil	Hauptstrasse 35	6034	Inwil
0008	LU	2016	PR-REG CH2	01_016_05000	hmo6003F	Centramed Praxis HMO	Frankenstrasse 2	6003	Luzern
0008	LU	2016	PR-REG CH2	01_016_03200	hmo6003O	Sanacare Gruppenpraxis 	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0008	LU	2016	PR-REG CH2	01_016_02600	hmo6004	Sanacare Gruppenpraxis 	Löwencenter / Zürichstrasse 9	6004	Luzern
0008	LU	2016	PR-REG CH2	01_016_06700	hmo6004S	Monvia Gesundheitszentrum Luzern	Spitalstrasse 40	6004	Luzern
0008	LU	2016	PR-REG CH2	01_016_06300	hmo6034	Monvia Gesundheitszentrum Inwil	Hauptstrasse 35	6034	Inwil
0008	LU	2016	PR-REG CH2	01_016_01200	hmo6300	Centramed Praxis HMO	Baarerstrasse 8	6300	Zug
0008	LU	2016	PR-REG CH3	01_016_05000	hmo6003F	Centramed Praxis HMO	Frankenstrasse 2	6003	Luzern
0008	LU	2016	PR-REG CH3	01_016_03200	hmo6003O	Sanacare Gruppenpraxis 	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0008	LU	2016	PR-REG CH3	01_016_02600	hmo6004	Sanacare Gruppenpraxis 	Löwencenter / Zürichstrasse 9	6004	Luzern
0008	LU	2016	PR-REG CH3	01_016_06700	hmo6004S	Monvia Gesundheitszentrum Luzern	Spitalstrasse 40	6004	Luzern
0008	LU	2016	PR-REG CH3	01_016_06300	hmo6034	Monvia Gesundheitszentrum Inwil	Hauptstrasse 35	6034	Inwil
0008	NW	2016	PR-REG CH0	01_016_05000	hmo6003F	Centramed Praxis HMO	Frankenstrasse 2	6003	Luzern
0008	NW	2016	PR-REG CH0	01_016_03200	hmo6003O	Sanacare Gruppenpraxis 	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0008	NW	2016	PR-REG CH0	01_016_06700	hmo6004S	Monvia Gesundheitszentrum Luzern	Spitalstrasse 40	6004	Luzern
0008	NW	2016	PR-REG CH0	01_016_02700	hmo6460	CENTRAMED Praxis Altdorf	Flüelerstrasse 8	6460	Altdorf
0008	OW	2016	PR-REG CH0	01_016_03200	hmo6003O	Sanacare Gruppenpraxis 	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0008	OW	2016	PR-REG CH0	01_016_06700	hmo6004S	Monvia Gesundheitszentrum Luzern	Spitalstrasse 40	6004	Luzern
0008	SG	2016	PR-REG CH1	01_016_12900	hmo8280B	santémed Gesundheitszentrum	Brückenstrasse 11	8280	Kreuzlingen
0008	SG	2016	PR-REG CH1	01_016_12900	hmo8500	Santémed Gesundheitszentrum	Unterer Graben 1	8500	Frauenfeld
0008	SG	2016	PR-REG CH1	01_016_12900	hmo8570	Santémed Gesundheitszentrum	Marktplatz 5	8570	Weinfelden
0008	SG	2016	PR-REG CH1	01_016_02400	hmo9000	Sanacare Gruppenpraxis	Rosenbergstrasse 16	9000	St. Gallen
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9053S	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9220	santémed Gesundheitszentrum	Sandbänkli 1	9220	Bischofszell
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9240	Santémed Gesundheitszentrum	Bahnhofstrasse 82	9240	Uzwil
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9444	Santémed Gesundheitszentrum	Vordere Kirchstrasse 8	9444	Diepoldsau
0008	SG	2016	PR-REG CH1	01_016_12900	hmo9500	Santémed Gesundheitszentrum	Friedtalweg 18	9500	Wil
0008	SG	2016	PR-REG CH2	01_016_12900	hmo8340	Santémed Gesundheitszentrum	Bahnhofstrasse 10	8340	Hinwil
0008	SG	2016	PR-REG CH2	01_016_12900	hmo8620E	santémed Gesundheitszentrum	Eichstrasse 4	8620	Wetzikon
0008	SG	2016	PR-REG CH2	01_016_02400	hmo9000	Sanacare Gruppenpraxis	Rosenbergstrasse 16	9000	St. Gallen
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9053S	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9220	santémed Gesundheitszentrum	Sandbänkli 1	9220	Bischofszell
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9240	Santémed Gesundheitszentrum	Bahnhofstrasse 82	9240	Uzwil
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9444	Santémed Gesundheitszentrum	Vordere Kirchstrasse 8	9444	Diepoldsau
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9500	Santémed Gesundheitszentrum	Friedtalweg 18	9500	Wil
0008	SG	2016	PR-REG CH2	01_016_12900	hmo9630B	Santémed Gesundheitszentrum	Bahnhofstrasse 4	9630	Wattwil
0008	SG	2016	PR-REG CH3	01_016_12900	hmo8340	Santémed Gesundheitszentrum	Bahnhofstrasse 10	8340	Hinwil
0008	SG	2016	PR-REG CH3	01_016_12900	hmo8620E	santémed Gesundheitszentrum	Eichstrasse 4	8620	Wetzikon
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9053S	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9220	santémed Gesundheitszentrum	Sandbänkli 1	9220	Bischofszell
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9240	Santémed Gesundheitszentrum	Bahnhofstrasse 82	9240	Uzwil
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9444	Santémed Gesundheitszentrum	Vordere Kirchstrasse 8	9444	Diepoldsau
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9500	Santémed Gesundheitszentrum	Friedtalweg 18	9500	Wil
0008	SG	2016	PR-REG CH3	01_016_12900	hmo9630B	Santémed Gesundheitszentrum	Bahnhofstrasse 4	9630	Wattwil
0008	SH	2016	PR-REG CH2	01_016_12900	hmo8193	santémed Gesundheitszentrum	Obergass 1	8193	Eglisau
0008	SH	2016	PR-REG CH2	01_016_12900	hmo8400G	Santémed Gesundheitszentrum	Gertrudstrasse 1	8400	Winterthur
0008	SO	2016	PR-REG CH0	01_016_12900	hmo4051H	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0008	SO	2016	PR-REG CH0	01_016_05100	hmo4051S	CENTRAMED Basel	Sternengasse 21	4051	Basel
0008	SO	2016	PR-REG CH0	01_016_06200	hmo4600F	Monvia Gesundheitszentrum Olten	Froburgstrasse 4	4600	Olten
0008	SO	2016	PR-REG CH0	01_016_03000	hmo5000	Sanacare Gruppenpraxis	Kasinostrasse 30	5000	Aarau
0008	SO	2016	PR-REG CH0	01_016_06500	hmo5036M	Monvia Gesundheitszentrum Oberentfelden	Muhenstrasse 13	5036	Oberentfelden
0008	SZ	2016	PR-REG CH0	01_016_03200	hmo6003O	Sanacare Gruppenpraxis 	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0008	SZ	2016	PR-REG CH0	01_016_02600	hmo6004	Sanacare Gruppenpraxis 	Löwencenter / Zürichstrasse 9	6004	Luzern
0008	SZ	2016	PR-REG CH0	01_016_06700	hmo6004S	Monvia Gesundheitszentrum Luzern	Spitalstrasse 40	6004	Luzern
0008	SZ	2016	PR-REG CH0	01_016_06300	hmo6034	Monvia Gesundheitszentrum Inwil	Hauptstrasse 35	6034	Inwil
0008	SZ	2016	PR-REG CH0	01_016_01200	hmo6300	Centramed Praxis HMO	Baarerstrasse 8	6300	Zug
0008	SZ	2016	PR-REG CH0	01_016_03400	hmo6430	Sanacare Gruppenpraxis	Oberer Steisteg 18/20	6430	Schwyz
0008	SZ	2016	PR-REG CH0	01_016_12900	hmo8340	Santémed Gesundheitszentrum	Bahnhofstrasse 10	8340	Hinwil
0008	SZ	2016	PR-REG CH0	01_016_12900	hmo8620E	santémed Gesundheitszentrum	Eichstrasse 4	8620	Wetzikon
0008	TG	2016	PR-REG CH0	01_016_12900	hmo8280B	santémed Gesundheitszentrum	Brückenstrasse 11	8280	Kreuzlingen
0008	TG	2016	PR-REG CH0	01_016_12900	hmo8500	Santémed Gesundheitszentrum	Unterer Graben 1	8500	Frauenfeld
0008	TG	2016	PR-REG CH0	01_016_12900	hmo8570	Santémed Gesundheitszentrum	Marktplatz 5	8570	Weinfelden
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9053S	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9220	santémed Gesundheitszentrum	Sandbänkli 1	9220	Bischofszell
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9240	Santémed Gesundheitszentrum	Bahnhofstrasse 82	9240	Uzwil
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0008	TG	2016	PR-REG CH0	01_016_12900	hmo9500	Santémed Gesundheitszentrum	Friedtalweg 18	9500	Wil
0008	TI	2016	PR-REG CH1	01_016_03300	hmo6900	Studio Medico Sanacare	Via F. Pelli 7	6900	Lugano
0008	UR	2016	PR-REG CH0	01_016_02700	hmo6460	CENTRAMED Praxis Altdorf	Flüelerstrasse 8	6460	Altdorf
0008	ZG	2016	PR-REG CH0	01_016_06300	hmo6034	Monvia Gesundheitszentrum Inwil	Hauptstrasse 35	6034	Inwil
0008	ZG	2016	PR-REG CH0	01_016_01200	hmo6300	Centramed Praxis HMO	Baarerstrasse 8	6300	Zug
0008	ZH	2016	PR-REG CH1	01_016_01800	hmo8001	Sanacare Gruppenpraxis Stadelhofen	Gottfried Keller-Strasse 7	8001	Zürich-Stadelhofen
0008	ZH	2016	PR-REG CH1	01_016_00700	hmo8003	Sanacare Gruppenpraxis	Weststrasse 75	8003	Zürich-Wiedikon
0008	ZH	2016	PR-REG CH1	01_016_12900	hmo8036	Santémed Gesundheitszentrum	Seebahnstrasse 89	8036	Zürich-Wiedikon
0008	ZH	2016	PR-REG CH1	01_016_03500	hmo8046	Sanacare Gruppenpraxis	In Böden 174	8046	Zürich-Affoltern
0008	ZH	2016	PR-REG CH1	01_016_12900	hmo8050B	Santémed Gesundheitszentrum	Baumackerstrasse 46	8050	Zürich-Oerlikon
0008	ZH	2016	PR-REG CH1	01_016_01700	hmo8050G	Sanacare Gruppenpraxis	Gubelstrasse 28	8050	Zürich-Oerlikon
0008	ZH	2016	PR-REG CH1	01_016_12900	hmo8302	Santémed Gesundheitszentrum	Bachstrasse 9b	8302	Kloten
0008	ZH	2016	PR-REG CH1	01_016_06400	hmo8304	Monvia Gesundheitszentrum Wallisellen	Bahnhofstrasse 1B	8304	Wallisellen
0008	ZH	2016	PR-REG CH1	01_016_12900	hmo8400G	Santémed Gesundheitszentrum	Gertrudstrasse 1	8400	Winterthur
0008	ZH	2016	PR-REG CH1	01_016_12900	hmo8610	Santémed Gesundheitszentrum	Brunnackerstrasse 3	8610	Uster
0008	ZH	2016	PR-REG CH2	01_016_01800	hmo8001	Sanacare Gruppenpraxis Stadelhofen	Gottfried Keller-Strasse 7	8001	Zürich-Stadelhofen
0008	ZH	2016	PR-REG CH2	01_016_00700	hmo8003	Sanacare Gruppenpraxis	Weststrasse 75	8003	Zürich-Wiedikon
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8036	Santémed Gesundheitszentrum	Seebahnstrasse 89	8036	Zürich-Wiedikon
0008	ZH	2016	PR-REG CH2	01_016_03500	hmo8046	Sanacare Gruppenpraxis	In Böden 174	8046	Zürich-Affoltern
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8050B	Santémed Gesundheitszentrum	Baumackerstrasse 46	8050	Zürich-Oerlikon
0008	ZH	2016	PR-REG CH2	01_016_01700	hmo8050G	Sanacare Gruppenpraxis	Gubelstrasse 28	8050	Zürich-Oerlikon
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8302	Santémed Gesundheitszentrum	Bachstrasse 9b	8302	Kloten
0008	ZH	2016	PR-REG CH2	01_016_06400	hmo8304	Monvia Gesundheitszentrum Wallisellen	Bahnhofstrasse 1B	8304	Wallisellen
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8340	Santémed Gesundheitszentrum	Bahnhofstrasse 10	8340	Hinwil
0008	ZH	2016	PR-REG CH2	01_016_07100	hmo8400	Monvia Gesundheitszentrum Winterthur	Bahnhofplatz 12	8400	Winterthur
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8400G	Santémed Gesundheitszentrum	Gertrudstrasse 1	8400	Winterthur
0008	ZH	2016	PR-REG CH2	01_016_01900	hmo8400R	Sanacare Gruppenpraxis	Rudolfstrasse 13	8400	Winterthur
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8500	Santémed Gesundheitszentrum	Unterer Graben 1	8500	Frauenfeld
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8610	Santémed Gesundheitszentrum	Brunnackerstrasse 3	8610	Uster
0008	ZH	2016	PR-REG CH2	01_016_12900	hmo8620E	santémed Gesundheitszentrum	Eichstrasse 4	8620	Wetzikon
0008	ZH	2016	PR-REG CH3	01_016_01200	hmo6300	Centramed Praxis HMO	Baarerstrasse 8	6300	Zug
0008	ZH	2016	PR-REG CH3	01_016_00700	hmo8003	Sanacare Gruppenpraxis	Weststrasse 75	8003	Zürich-Wiedikon
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8036	Santémed Gesundheitszentrum	Seebahnstrasse 89	8036	Zürich-Wiedikon
0008	ZH	2016	PR-REG CH3	01_016_03500	hmo8046	Sanacare Gruppenpraxis	In Böden 174	8046	Zürich-Affoltern
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8050B	Santémed Gesundheitszentrum	Baumackerstrasse 46	8050	Zürich-Oerlikon
0008	ZH	2016	PR-REG CH3	01_016_01700	hmo8050G	Sanacare Gruppenpraxis	Gubelstrasse 28	8050	Zürich-Oerlikon
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8193	santémed Gesundheitszentrum	Obergass 1	8193	Eglisau
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8302	Santémed Gesundheitszentrum	Bachstrasse 9b	8302	Kloten
0008	ZH	2016	PR-REG CH3	01_016_06400	hmo8304	Monvia Gesundheitszentrum Wallisellen	Bahnhofstrasse 1B	8304	Wallisellen
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8340	Santémed Gesundheitszentrum	Bahnhofstrasse 10	8340	Hinwil
0008	ZH	2016	PR-REG CH3	01_016_07100	hmo8400	Monvia Gesundheitszentrum Winterthur	Bahnhofplatz 12	8400	Winterthur
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8400G	Santémed Gesundheitszentrum	Gertrudstrasse 1	8400	Winterthur
0008	ZH	2016	PR-REG CH3	01_016_01900	hmo8400R	Sanacare Gruppenpraxis	Rudolfstrasse 13	8400	Winterthur
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8500	Santémed Gesundheitszentrum	Unterer Graben 1	8500	Frauenfeld
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8610	Santémed Gesundheitszentrum	Brunnackerstrasse 3	8610	Uster
0008	ZH	2016	PR-REG CH3	01_016_12900	hmo8620E	santémed Gesundheitszentrum	Eichstrasse 4	8620	Wetzikon
0182	AG	2016	PR-REG CH0	HMO	hmo4051.BS1	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0182	AG	2016	PR-REG CH0	HMO	hmo4600.MPF	Medplace Olten	Froburgstrasse 4	4600	Olten
0182	AG	2016	PR-REG CH0	HMO	hmo5000.SCA	Sanacare Gruppenpraxis	Kasinostrasse 30	5000	Aarau
0182	AG	2016	PR-REG CH0	HMO	hmo5036.MPE	Medplace Oberentfelden	Muhenstrasse 13	5036	Oberentfelden
0182	AG	2016	PR-REG CH0	HMO	hmo5400	Partnerpraxis ifa Baden	Kreuzweg 3	5400	Baden
0182	AG	2016	PR-REG CH0	HMO	hmo5630.MPH	Medplace Muri	Luzernerstrasse 35	5630	Muri AG
0182	AG	2016	PR-REG CH0	HMO	hmo6034.MPC	Medplace Inwil	Hauptstrasse 35	6034	Inwil
0182	AG	2016	PR-REG CH0	HMO	hmo6280	Monvia Gesundheitszentrum Hochdorf	Brauiplatz 4	6280	Hochdorf
0182	AG	2016	PR-REG CH0	HMO	hmo8003.SCL	Sanacare Gruppenpraxis	Weststrasse 75	8003	Zürich-Wiedikon
0182	AG	2016	PR-REG CH0	HMO	hmo8036	Santémed Gesundheitszentrum	Seebahnstrasse 89	8036	Zürich-Wiedikon
0182	AR	2016	PR-REG CH0	HMO	hmo9000.SCH	Sanacare Gruppenpraxis	Rosenbergstrasse 16	9000	St. Gallen
0182	AR	2016	PR-REG CH0	HMO	hmo9001	Santémed Gesundheitszentrum	Vadianstrasse 26	9001	St. Gallen
0182	AR	2016	PR-REG CH0	HMO	hmo9053.AR1	santémed Gesundheitszentrum	Speicherstrasse 8	9053	Teufen
0182	AR	2016	PR-REG CH0	HMO	hmo9400	Santémed Gesundheitszentrum	Kirchstrasse 26	9400	Rorschach
0182	AR	2016	PR-REG CH0	HMO	hmo9435	Santémed Gesundheitszentrum	Aechelistrasse 6	9435	Heerbrugg
0182	AR	2016	PR-REG CH0	HMO	hmo9444	Santémed Gesundheitszentrum	Vordere Kirchstrasse 8	9444	Diepoldsau
0182	BE	2016	PR-REG CH1	HMO	hmo2503.SCC	Sanacare Gruppenpraxis	Neumarktstrasse 27	2503	Biel/Bienne
0182	BE	2016	PR-REG CH1	HMO	hmo3011.BE1	santémed Gesundheitszentrum	Schwanengasse 10	3011	Bern
0182	BE	2016	PR-REG CH1	HMO	hmo3011.SCB	Sanacare Gruppenpraxis	Bubenbergplatz 10	3011	Bern
0182	BE	2016	PR-REG CH1	HMO	hmo3014.MPA	Medplace Bern	Tellstrasse 32	3014	Bern
0182	BE	2016	PR-REG CH2	HMO	hmo2503.SCC	Sanacare Gruppenpraxis	Neumarktstrasse 27	2503	Biel/Bienne
0182	BE	2016	PR-REG CH2	HMO	hmo3011.BE1	santémed Gesundheitszentrum	Schwanengasse 10	3011	Bern
0182	BE	2016	PR-REG CH2	HMO	hmo3011.SCB	Sanacare Gruppenpraxis	Bubenbergplatz 10	3011	Bern
0182	BE	2016	PR-REG CH2	HMO	hmo3014.MPA	Medplace Bern	Tellstrasse 32	3014	Bern
0182	BE	2016	PR-REG CH2	HMO	hmo4500Lu	HMO Medgate-HealthCenter SO	Luzernstrasse 5-11	4500	Solothurn
0182	BE	2016	PR-REG CH3	HMO	hmo4500Lu	HMO Medgate-HealthCenter SO	Luzernstrasse 5-11	4500	Solothurn
0182	BS	2016	PR-REG CH0	HMO	hmo4051.BS1	Santémed Gesundheitszentrum	Henric Petri-Strasse 9	4051	Basel
0182	LU	2016	PR-REG CH1	HMO	hmo6002.LU3C	Partnerpraxis Centramed Luzern	Frankenstrasse 2	6002	Luzern
0182	LU	2016	PR-REG CH1	HMO	hmo6003.SCF	Sanacare Gruppenpraxis	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0182	LU	2016	PR-REG CH1	HMO	hmo6003P	Pilatus Praxis	Pilatusstrasse 35	6003	Luzern
0182	LU	2016	PR-REG CH1	HMO	hmo6004.MPD	Medplace Luzern	Spitalstrasse 40	6004	Luzern
0182	LU	2016	PR-REG CH1	HMO	hmo6004.SCE	Sanacare Gruppenpraxis Löwencenter	Zürichstrasse 9	6004	Luzern
0182	LU	2016	PR-REG CH2	HMO	hmo6002.LU3C	Partnerpraxis Centramed Luzern	Frankenstrasse 2	6002	Luzern
0182	LU	2016	PR-REG CH2	HMO	hmo6003.SCF	Sanacare Gruppenpraxis	Paulusplatz / Obergrundstrasse 73	6003	Luzern
0182	LU	2016	PR-REG CH2	HMO	hmo6003P	Pilatus Praxis	Pilatusstrasse 35	6003	Luzern
0182	LU	2016	PR-REG CH2	HMO	hmo6004.MPD	Medplace Luzern	Spitalstrasse 40	6004	Luzern
0182	LU	2016	PR-REG CH2	HMO	hmo6004.SCE	Sanacare Gruppenpraxis Löwencenter	Zürichstrasse 9	6004	Luzern
