ID - KNIP	ID - BAG	Company	Abreviation	belongs to	Motherhouse	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	Reviews	Gesammt Note	Tage bis Rückerstattung	Geschwindigkeit Rückerstattung	Kundenzufriedenheit	Knip Kollaboration	positive 	negative	E-mail for insurance application
2	8	CSS Krankenversicherung AG	CSS	-	CSS Krankenversicherung AG	Yes	Nein	yes	Tribschenstrasse 21\n Postfach 2568\n 6002 Luzern\n Tel. 058 277 11 11\n Fax 058 277 12 12\n css.info@css.ch\n www.css.ch		css_Versicherungen_ag	Die CSS Krankenkasse gehört zur CSS Holding AG. Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Ende 2014 hatten rund 1,28 Millionen Personen eine Grundversicherung bei der CSS abgeschlossen. Insgesamt sind etwa 1,7 Millionen Kunden bei der CSS versichert. Die Prämieneinnahmen steigen um 2,5 Prozent auf 5.379 Mrd. Franken. Damit zählt CSS zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. Der in Luzern ansässige Versicherer wurde 1899 gegründet. Betreut werden die Kunden von etwa 2.650 Mitarbeitern am Hauptsitz sowie in den verschiedenen Büros vor Ort.\n\n			4.7	7	5	5.0	4	Kurze Rückerstattungszeit\nHohe Kundenzufriedenheit		css.info@css.ch
96	774	Easy Sana	Easy Sana	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Nein	yes	Groupe Mutuel\n Krankenversicherung Easy Sana\n Rue des Cèdres 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.			4.6	10	5	4.9	4	Kurze Rückerstattungszeit	Solvenzquote nicht ausreichend (BAG)	 info@groupemutuel.ch
40	881	EGK Grundversicherungen	EGK	-	-	Yes	Nein	yes	Brislachstrasse 2\n Postfach\n 4242 Laufen\n Tel. 061 765 51 11\n Fax 061 765 51 12\n info@egk.ch \n www.egk.ch		egk.png	Die EGK-Gesundheitskasse beschäftigt aktuell 229 Mitarbeiter (Stand: März 2013) und hat ihren Sitz in Laufen im Kanton Basel-Landschaft. Der Geschäftsleiter des Unternehmens ist Dr. Reto Flury, der Präsident des Stiftungsrats ist seit dem Jahr 2004 Alex Kummer.\nIm Jahr 2013 konnte die EGK-Gesundheitskasse einen Jahresumsatz von 498 Mio. CHF erzielen.\nDie Versicherten der EGK-Gesundheitskasse können über die gesetzliche Pflichtkrankenversicherung hinaus private Zusatzversicherungen abschließen. So gibt es die Möglichkeit, mehr zu bezahlen und dafür freie Arztwahl in der Schweiz bei ambulanten Behandlungen zu erhalten. Auch für Auslandsaufenthalte bietet die EGK unterschiedliche Zusatzversicherungen an. Auch wer Wert darauf legt, naturmedizinische Behandlungen von der Krankenkasse bezahlt zu bekommen, kann hierfür eine spezielle Zusatzversicherung abschließen.\nDennoch bleibt die Grundversicherung nach dem Krankenversicherungsgesetz das Hauptgeschäft des Unternehmens: Es nimmt einen Anteil von 78% der gesamten Prämieneinnahmen in Anspruch.			n.v.	16	4	n.v.	n.v.	n.v.		 info@egk.ch 
75	923	Krankenkasse SLKK	SLKK	-	-	Yes	Yes	yes	Hofwiesenstrasse 370\n Postfach 5652\n 8050 Zürich\n Tel. 044 368 70 30\n Fax 044 368 70 47\n info@slkk.ch\n www.slkk.ch		slkk.png	Beide Versicherungen haben ihren Hauptsitz in Zürich, in dem das gesamte Versicherungsgeschäft abgewickelt wird. Die Versicherungen sind vor allem über das Internet für ihre Versicherten zu erreichen, doch auf Wunsch der Kunden kommen gerne auch die Makler und Vermittler der Versicherung zu den Versicherten nach Hause. Dies muss einfach nur auf der Webseite der Versicherung von den Kunden angegeben werden. Neben der Grund- und der Unfallversicherung nach KVG bietet die Krankenversicherung SLKK natürlich auch viele Zusatzversicherungen nach VVG an, die die Versicherten nicht nur einzeln sondern auch in vielen verschiedenen Paketen abschließen können. So werden hier auch Zusatzversicherungen für Naturheilverfahren, für Medikamente, für Sehhilfen oder für Zahnersatz angeboten. Die Krankenversicherung ist in der gesamten deutschsprachigen Schweiz tätig, wohingegen sich das Tätigkeitsgebiet der SLKK Versicherungen über die gesamte Schweiz, also auch die italienische und die französische, erstreckt. Die Krankenversicherung schloss das Jahr 2012 mit einem Gewinn von 841.000,00 CHF ab, dies war doppelt so viel wie im Vorjahr. Die SLKK Versicherungen hingegen schaffte im Jahr 2012 einen Reingewinn von 834.721,31 CHF.			4.8	19	4	5.0	5.5	Hohe Kundenzufriedenheit	Ist nur in der Deutschschweiz tätig	info@slkk.ch
63	780	Glarner Krankenversicherung 	Glarner			Yes	Nein	yes	Glarner Kranekversicherung \nSernftalstrasse 33\n8762 Schwanden \n Tel. 055 642 25 25\n Fax 055 642 25 45\n info@glkv.ch \n www.glkv.ch		glarner_krankenversicherung.png	Heute hat die Glarner Krankenversicherung zwei Standorte in Elm, dem Hauptsitz und in Luchsingen mit einer Nebenstelle. Da die Versicherung sich noch immer im Wachstum befindet, werden auch immer wieder Stellen und Ausbildungsplätze angeboten. Im Gebiet Glarus hat die Glarner Krankenversicherung zudem einen Marktanteil von 17,9 %, ist aber auch in den Gebieten Graubünden, Uri, St. Gallen und Schwyz tätig. Die Glarner Versicherung hatte laut Geschäftsbericht im Jahr 2012 einen Zuwachs von 251 Mitgliedern und wies im gleichen Jahr einen Gewinn von CHF 781.180,29 auf.\nZwei Standorte mit insgesamt sechs Mitarbeitern betreuen die Krankenversicherten kundennah und persönlich. Da es sich um eine kleine Versicherungsgesellschaft handelt, sind alle Kunden natürlich den Mitarbeitern auch bekannt. Neben der Grundversicherung bietet die Glarner Krankenversicherung auch einige interessante Zusatzversicherungen an. So kann der Versicherte sich zum Beispiel für Zusatzversicherungen für die Kosten von Brillen, Zahnersatzkosten oder auch Naturheilverfahren entscheiden. Diese Kosten werden von vielen Krankenkassen gar nicht erst berücksichtigt oder übernommen. Aber die Glarner Krankenversicherung ist nicht nur eine reine Krankenkasse, die die Kosten einer Behandlung übernimmt. Der Kunde kann sich hier auch für eine eventuelle Invalidität bedingt durch einen Unfall oder eine Krankheit versichern lassen, Unternehmen oder Einzelpersonen können eine Erwerbsausfall-Versicherung abschließen und bei Bedarf in Anspruch nehmen. 			n.v.	5	6	n.v.	n.v.	n.v.		info@glkv.ch
28	1479	Groupe Mutuel	Groupe Mutuel		Groupe Mutuel	yes	Nein	yes	Groupe Mutuel\n Mutuel Assurances\n Rue des Cèdres 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.			4.4	10	5	4.3	4	Kurze Rückerstattungszeit	Solvenzquote nicht ausreichend (BAG)	info@groupemutuel.ch
5	1562	Helsana Versicherungen AG\n	Helsana	-	-	Yes	Nein	yes	Helsana-Gruppe\n Helsana Versicherungen AG\n Postfach\n 8081 Zürich\n Tel. 043 340 11 11\n Fax 043 340 01 11\n www.helsana.ch		helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und verfügt über ein schweizweites Netz von 22 Generalagenturen und 19 Verkaufsstellen. \nDer Konzern umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Aerosana, eine weitere ehemalige Tochtergesellschaft, fusionierte per 1. Januar 2011 mit Progrès.\nDas Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach demKrankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.\n			5.0	1	6	5.1	4	Sehr kurze Rückerstattungszeit\nHohe Kundenzufriedenheit		kb1.zuerich@helsana.ch
13	1529	INTRAS Kranken-Versicherung AG	Intras	Ein Angebot der CSS	CSS Versicherung AG	Yes	Nein	yes	Tribschenstrasse 21\n Postfach 2568\n 6002 Luzern\n Tel. 058 277 11 11\n Fax 058 277 12 12\ncss.info@css.ch \n www.css.ch		css_Versicherungen_ag	Die CSS Gruppe mit Hauptsitz in Luzern ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,31 Millionen Versicherten in der obligatorischen Krankenpflegeversicherung ist die CSS der grösste Grundversicherer der Schweiz. Das Unternehmen zählt insgesamt 1,78 Millionen Kunden, weist ein jährliches Prämienvolumen von CHF 5,09 Milliarden aus, beschäftigt 2529 Mitarbeitende und verfügt landesweit über 125 Agenturen.\nDie CSS Gruppe besteht aus sieben Gesellschaften, die in der Schweiz das Versicherungsgeschäft betreiben: Die CSS Kranken-Versicherung AG, die INTRAS Kranken-Versicherung AG, die Arcosana AG, die Auxilia Kranken-Versicherung AG und die Sanagate AG betreiben die obligatorische Krankenpflegeversicherung nach dem Krankenversicherungsgesetz KVG. Sie sind dem Bundesamt für Gesundheit unterstellt. Die CSS Versicherung AG und die INTRAS Versicherung AG betreiben das Geschäft mit Kranken-Zusatzversicherungen, kollektiven Krankentaggeldversicherungen, kollektiven Unfallversicherungen sowie weiteren Versicherungsprodukten (Sach und Vermögen, Einzelleben) nach dem Versicherungsvertragsgesetz VVG. Aufsichtsbehörde ist die Eidgenössischen Finanzmarktaufsicht (FINMA). Die Tochtergesellschaft vivit Gesundheits AG bietet umfassende Gesundheitsdienstleistungen und -produkte an, die Tochter MC Makler Consulting AG unterhält eine Vermittlerplattform für Versicherungen und Finanzdienstleistungen.\n\n			4.7	7	5	5.0	4	Kurze Rückerstattungszeit		info.serviceline@css.ch
80	1040	KKV Krankenkasse Visperterminen	KKV	-	-	Yes	Nein	yes	Wierastrasse \n 3932 Visperterminen\n Tel. 027 948 00 50\n Fax 027 948 00 51\n kkv@visperterminen.ch \n www.kkv.ch		kkv.png	Die KKV Krankenkasse mit Sitz in Visperterminen (Kanton Wallis) ist ein lokal und regional fest verankerter Kranken- und Unfallversicherer in der Region Oberwallis. Da die Krankenkasse im Vergleich zu anderen Kassen relativ klein ist, steht für die KKV besonders die persönliche Beziehung zu ihren Kunden und die individuelle Beratung im Vordergrund.\n \nDurch die kostengünstigen Strukturen und geringen Verwaltungsapparat sowie dem Verzicht auf ein kostspieliges Agentur- und Beraternetzwerk kann die KKV ihre Kosten relativ gering halten. Die Kostenersparnis gibt die Versicherungen in Form von niedrigeren Prämien an ihre Kunden weiter.\n \nZielgruppe der KKV sind Privat- und Unternehmenskunden im Bereich Kranken- und Unfallversicherung. Privatkunden stehen mehrere Modelle im Bereich der obligatorischen Krankenversicherung nach dem Krankenversicherungsgesetz (KVG) zur Auswahl. Ergänzt wird das Angebot durch freiwillige Zusatzversicherungen nach dem Versicherungsvertragsgesetz (VVG), die sowohl allgemeiner Natur sind als sich auch an spezielle Zielgruppen wenden. Unternehmen bietet die KKV maßgeschneiderte (Kollektiv-)Lösungen an, von denen Mitarbeitende und die Unternehmen profitieren. Darüber hinaus hält die Krankenkasse auch Angebote für Selbstständige bereit.\n \nÜber die Internetplattform können Versicherte jederzeit mit der KKV in Kontakt treten und beispielsweise wichtige persönliche Daten ändern, Rechnungen stellen oder das gewählte Modell ändern.\n \nIm Rahmen ihrer Angebotspolitik arbeitet die KKV mit verschiedenen Partnern im Bereich Zusatzversicherung und Dienstleistungen zusammen.			n.v.			n.v.	n.v.	n.v.		kkv@visperterminen.ch 
65	829	KluG Krankenversicherung	KluG	-	-	Yes	Nein	yes	Gubelstrasse 22\n 6300 Zug\n Tel. 041 724 32 78\n Fax 041 724 20 45 \n team.klug@klug.ch\n www.klug.ch		klug_versicherungen.png	Die Klug Krankenversicherung ist eine kleines Unternehmen, das die Patienten individuell betreut, dafür aber auch erstklassige Leistungen erbringen möchten. Aufgrund eines günstigen Verwaltungsapparates sieht sich die Leitung der Klug Krankenversicherung dazu imstande, keine zu hohen Prämien von den Versicherten zu verlangen. Die Klug Krankenversicherung bietet Versicherungen für Privatpersonen, Familien oder auch Unternehmen, die ihre Mitarbeiter krankenversichern möchten, an. Weiterhin werden viele Zusatzversicherungen neben der Grundkrankenversicherung angeboten, die sich alle um das Thema Gesundheit drehen. Hier werden zum Beispiel eine Zahnversicherung oder auch eine Spitalversicherung und vieles mehr angeboten. Die Versicherung ist vor allem über das Internet und das Telefon für ihre Versicherten erreichbar, aber auch in der Filiale in Zug kann der persönliche Kontakt hergestellt werden. Doch nicht immer ist es möglich, dass die Versicherten von weit her anreisen, dann steht eine Telefonnummer zur Verfügung, auf der der Kundenberater zu erreichen ist. Das Jahr 2012 hat die Klug Krankenversicherung mit einem plus von 312.803,17 CHF abgeschlossen.			n.v.	4	6	n.v.	n.v.	n.v.		team.klug@klug.ch
30	762	Kolping Krankenkasse AG	Kolping			yes	nein	yes	Wallisellenstrasse55\n8600 Dübendorf\nTel. 044 824 80 70\nFax 044 824 80 99\ninfo@mykolping.ch\nwww.mykolping.ch		no image				n.v.	7	5	n.v.	n.v.	n.v.		info@mykolping.ch
