Nr.,Name,Address,ISO,GLN / EAN,SASIS,Ofac
762,Kolping Krankenkasse AG<br>Kolping Caisse maladie SA<br>Kolping Cassa malati SA,Ringstrasse 16 <br>Postfach 198<br>8600 Dübendorf<br>Tel. 044 824 80 80<br>Fax 044 824 80 99<br>info@mykolping.ch<br>www.mykolping.ch,610515,7601003002256,X,X
774,Easy Sana Assurance Maladie SA<br>Easy Sana Krankenversicherung AG<br>Easy Sana Assicurazione Malattia SA,Groupe Mutuel<br>Krankenversicherung Easy Sana<br>Rue des Cèdres 5<br>1920 Martigny<br>Tel. 0848 803 111<br>Fax 0848 803 112<br>info@groupemutuel.ch<br>www.groupemutuel.ch,610525 0774,7601003006995,X,X
780,Genossenschaft Glarner Krankenversicherung,Säge 5<br>8767 Elm<br>Tel. 055 642 25 25<br>Fax 055 642 25 45<br>info@glkv.ch <br>www.glkv.ch,<br>,<br>,<br>,<br>
820,Cassa da malsauns LUMNEZIANA,Postfach 41<br>7144 Vella<br>Tel. 081 931 35 35<br>Fax 081 936 81 66<br>info@lumneziana.ch,<br>,<br>,X,<br>
829,KluG Krankenversicherung,Gubelstrasse 22<br>6300 Zug<br>Tel. 041 724 32 78<br>Fax 041 724 20 45 <br>team.klug@klug.ch<br>www.klug.ch,610563,7601003002218,X,X
881,EGK Grundversicherungen,Brislachstrasse 2<br>Postfach<br>4242 Laufen<br>Tel. 061 765 51 11<br>Fax 061 765 51 12<br>info@egk.ch <br>www.egk.ch,610669,7601003000924,X,X
901,sanavals Gesundheitskasse,Haus ISIS<br>Postfach 18<br>7132 Vals<br>Tel. 081 935 11 44<br>Fax 081 936 90 28<br>info@sanavals.ch<br>www.sanavals.ch,<br>,<br>,X,<br>
923,Krankenkasse SLKK,Hofwiesenstrasse 370<br>Postfach 5652<br>8050 Zürich<br>Tel. 044 368 70 30<br>Fax 044 368 70 47<br>info@slkk.ch<br>www.slkk.ch,610656,7601003002263,X,X
941,sodalis gesundheitsgruppe,Balfrinstrasse 15<br>3930 Visp<br>Tel. 027 948 14 00 <br>Fax 027 948 14 04<br>info@sodalis.ch <br>www.sodalis.ch,610519,7601003001891,X,X
966,vita surselva ,Bahnhofstrasse 33<br>Postfach 217<br>7130 Ilanz<br>Tel. 081 925 61 60<br>Fax 081 925 61 73<br>vitasurselva@bluewin.ch<br>www.vitasurselva.ch,<br>,<br>,X,<br>
994,Progrès Versicherungen AG<br>Progrès Assurances SA<br>Progrès Assicurazioni SA,Helsana-Gruppe<br>Progrès Versicherungen AG<br>Postfach<br>8081 Zürich<br>Tel. 043 340 11 12<br>Fax 043 340 01 11<br>www.progres.ch,610562,7601003001044,<br>,X
1003,Krankenkasse Zeneggen,Neue Scheune<br>3934 Zeneggen<br>Tel. 027 946 67 08<br>Fax 027 946 45 64<br>kkz@rhone.ch,610520,7601003002164,X,X
1040,KKV Krankenkasse Visperterminen,Wierastrasse <br>3932 Visperterminen<br>Tel. 027 948 00 50<br>Fax 027 948 00 51<br>kkv@visperterminen.ch <br>www.kkv.ch,<br>,<br>,X,<br>
1060,Wincare Versicherungen<br>Wincare Assurances<br>Wincare Assicurazioni,Konradstrasse 14<br>Postfach 299<br>8401 Winterthur<br>Tel. 044 298 63 00<br>Fax 044 298 62 50<br>info@wincare.ch <br>www.wincare.ch,610580,7601003002027,X,X
1113,Caisse-maladie Vallée d’Entremont,Place centrale <br>Case postale 13<br>1937 Orsières<br>Tel. 027 783 25 87<br>Fax 027 783 30 18<br>cmveo@cmveo.ch<br>www.cmveo.ch,610525,7601003001273,X,X
1142,Krankenkasse Institut Ingenbohl,6440 Brunnen<br>Tel. 041 825 22 37<br>Fax 041 825 22 66<br>krankenkasse@kloster-ingenbohl.ch,610523,7601003000450,X,X
1147,Krankenkasse Turbenthal,Tösstalstrasse 147<br>8488 Turbenthal<br>Tel. 052 385 33 65,<br>,<br>,<br>,<br>
1179,Caisse-maladie du Personnel communal de la Ville de Neuchâtel,Hôtel de Ville<br>2000 Neuchâtel<br>Groupe Mutuel<br>Caisse-maladie du Personnel communal de <br>la Ville de Neuchâtel<br>Rue du Nord 5<br>1920 Martigny<br>Tel. 0848 803 111<br>Fax 0848 803 112<br>info@groupemutuel.ch<br>www.groupemutuel.ch,<br>,<br>,<br>,<br>
1318,Stiftung Krankenkasse Wädenswil,Schönenbergstrasse 28<br>8820 Wädenswil<br>Tel. 044 780 74 00<br>Fax 044 780 87 33<br>www.kkwaedenswil.ch,610525,7601003001921,<br>,X
1322,Krankenkasse Birchmeier,Hauptstrasse 22<br>5444 Künten<br>Tel. 056 485 60 40<br>Fax 056 485 60 45<br>info@kkbirchmeier.ch<br>www.kkbirchmeier.ch,610524,7601003000863,X,X
1328,kmu-Krankenversicherung,Bachtelstrasse 5<br>8400 Winterthur<br>Tel. 052 269 12 60<br>Fax 052 269 12 65<br>info@kmu-kv.ch <br>www.kmu-kv.ch,610671,7601003002034,X,X
1331,Krankenkasse Stoffel,Bahnhofstrasse 63<br>8887 Mels<br>Tel. 081 723 56 09<br>Fax 081 723 76 55<br>info@kkstoffel.ch<br>www.kkstoffel.ch,610527,7601003001174,X,X
1362,Krankenkasse Simplon,3907 Simplon-Dorf<br>Tel. 027 979 14 39 <br>Fax 027 979 14 39<br>kk.simplondorf@rhone.ch,610528,7601003001495,X,X
1384,SWICA Krankenversicherung,Römerstrasse 38<br>8401 Winterthur<br>Tel. 052 244 22 33<br>Fax 052 244 22 90<br>swica@swica.ch <br>www.swica.ch,610626,7601003002041,X,X
1386,GALENOS Kranken- und Unfallversicherung<br>Assurance-maladie et accidents<br>Assicurazione-malattia e infortuni,Militärstrasse 36<br>Postfach<br>8021 Zürich<br>Tel. 044 245 88 88 <br>Fax 044 245 88 99<br>info@galenos.ch <br>www.galenos.ch,610541,7601003000054,X,X
1401,rhenusana,Heinrich-Wild-Strasse 210<br>Postfach<br>9435 Heerbrugg<br>Tel. 071 727 88 00<br>Fax 071 727 88 99<br>info@rhenusana.ch<br>www.rhenusana.ch,610581,7601003000788,X,X
1402,Taggeldkasse bildende Künstler/Innen<br>Caisse d’indemnités journalières pour artistes,General Guisan-Quai 40<br>Postfach 4338<br>8022 Zürich<br>Tel. 01 284 31 13<br>Fax 01 284 47 33,<br>,<br>,<br>,<br>
1423,Publisana Krankenkasse AG,Hauptstrasse 24<br>Postfach<br>5201 Brugg<br>Tel. 056 442 33 11<br>Fax 056 442 33 17<br>info@publisana.ch <br>www.publisana.ch,610529,7601003000429,X,X
1479,Mutuel Assurance Maladie SA<br>Mutuel Krankenversicherung AG<br>Mutuel Assicurazione Malattia SA,Groupe Mutuel<br>Mutuel Assurances<br>Rue des Cèdres 5<br>1920 Martigny<br>Tel. 0848 803 111<br>Fax 0848 803 112<br>info@groupemutuel.ch<br>www.groupemutuel.ch,610525 1479,7601003004106,X,X
1491,Gewerbliche Krankenkasse Bern,Neuengasse 20<br>Postfach 414<br>3000 Bern 7<br>Tel. 031 310 11 11<br>Fax 031 310 11 22<br>gvb@gewerbebern.ch,<br>,<br>,<br>,<br>
1507,Fondation AMB,Route de Verbier 13<br>1934 Le Châble<br>Tel. 058 758 60 70<br>Fax 058 758 60 89<br>info@amb-assurance.ch <br>www.amb-assurance.ch,610525 1507,7601003000504,X,X
1509,Sanitas Grundversicherungen AG,Jägergasse 3<br>Postfach 2010<br>8021 Zürich<br>Tel. 044 298 63 00<br>Fax 044 298 62 50<br>info@sanitas.com<br>www.sanitas.com,610585,7601003002294,X,X
1520,HOTELA Krankenkasse<br>HOTELA Caisse maladie,Rue de la Gare 18<br>1820 Montreux<br>Tel. 021 962 49 49<br>Fax 021 962 48 48 <br>welcome@hotela.ch<br>www.hotela.ch,<br>,<br>,<br>,<br>
1522,Krankenkasse Schweizerischer Metallbaufirmen,Dielsdorferstrasse 1<br>Postfach 56<br>8173 Neerach<br>Tel. 01 321 55 30<br>Fax 01 321 55 52,<br>,<br>,<br>,<br>
1529,INTRAS Assurancemaladie SA<br>INTRAS KrankenVersicherung AG<br>INTRAS Assicurazione malattie SA,Tribschenstrasse 21<br>Postfach 2568<br>6002 Luzern<br>Tel. 058 277 11 11<br>Fax 058 277 12 12<br>css.info@css.ch<br>www.css.ch,610547,7601003000498,X,X
1535,Philos Assurance Maladie SA<br>Philos Krankenversicherung AG<br>Philos Assicurazione Malattia SA,Groupe Mutuel<br>Philos Caisse maladie-accident<br>Rue des Cèdres 5<br>1920 Martigny<br>Tel. 0848 803 111<br>Fax 0848 803 112<br>info@groupemutuel.ch<br>www.groupemutuel.ch,610525,7601003019377,X,X
1540,Krankengeldversicherung für Mitarbeiter der fenaco Mitgliedgenossenschaften (KGV),Postfach 344<br>8401 Winterthur<br>Tel. 052 264 23 20 (21)<br>Fax 052 213 67 93,<br>,<br>,<br>,<br>
1542,Assura-Basis SA,Avenue C.-F. Ramuz 70<br>1009 Pully<br>Tel. 021 721 44 11<br>Fax 021 721 46 99<br>assura@assura.ch <br>www.assura.ch,610680,7601003001303,<br>,X
1555,Visana AG,Weltpoststrasse 19/21<br>Postfach 253<br>3000 Bern 15<br>Tel. 031 357 91 11<br>Fax 031 357 96 22<br>info@visana.ch<br>www.visana.ch,610595,7601003000023,X,X
1560,Agrisano Krankenkasse AG,Laurstrasse 10<br>5201 Brugg AG<br>Tel. 056 461 71 11<br>Fax 056 461 71 07<br>info@agrisano.ch <br>www.agrisano.ch,610541,7601003000436,X,X
1562,Helsana Versicherungen AG<br>Helsana Assurances SA<br>Helsana Assicurazioni SA,Helsana-Gruppe<br>Helsana Versicherungen AG<br>Postfach<br>8081 Zürich<br>Tel. 043 340 11 11<br>Fax 043 340 01 11<br>www.helsana.ch,610564,7601003002775,<br>,X
1565,avanex Versicherungen AG<br>avenex Assurances SA<br>avanex Assicurazioni SA,Helsana-Gruppe<br>avanex Versicherungen AG<br>Postfach<br>8081 Zürich<br>Tel. 043 340 11 13<br>Fax 043 340 01 11<br>www.avanex.ch,610598,7601003006360,<br>,X
1566,sansan Versicherungen AG<br>sansan Assurances SA<br>sansan Assicurazioni SA,Helsana-Gruppe<br>sansan Versicherungen AG<br>Postfach<br>8081 Zürich<br>Tel. 043 340 11 14<br>Fax 043 340 01 11<br>www.sansan.ch,610594,7601003006353,<br>,X
1568,sana24 AG,Weltpoststrasse 19/21<br>Postfach 253<br>3000 Bern 15<br>Tel. 031 357 91 11<br>Fax 031 357 96 22<br>info@visana.ch<br>www.visana.ch,610693,7601003010220,X,X
1569,Arcosana AG,Tribschenstrasse 21<br>6002 Luzern <br>Tel. 058 277 11 11<br>Fax 058 277 12 12<br>info.mail@arcosana.ch<br>www.arcosana.ch,610636,7601003010107,X,X
1570,vivacare AG ,Weltpoststrasse 19/21<br>Postfach 253<br>3000 Bern 15<br>Tel. 031 357 91 11<br>Fax 031 357 96 22<br>info@visana.ch<br>www.visana.ch,610699,7601003011098,X,X
1573,indivo Versicherungen AG<br>indivo Assurances SA<br>indivo Assicurazioni SA,Helsana-Gruppe<br>indivo Versicherungen AG<br>Postfach<br>8081 Zürich<br>Tel. 043 340 11 17<br>Fax 043 340 01 17<br>www.indivo.ch,610683,7601003092769,<br>,X
1574,maxi.ch Versicherungen AG<br>maxi.ch Assurances SA<br>maxi.ch Assicurazioni SA,Helsana-Gruppe<br>maxi.ch Versicherungen AG<br>Postfach<br>8081 Zürich<br>Tel. 043 340 11 16<br>Fax 043 340 01 16<br>www.maxi.ch,610682,7601003092752,<br>,X
1575,Compact Grundversicherungen AG<br>Compact Assurances de base SA<br>Compact Assicurazioni base SA,Jägergasse 3<br>Postfach 2010<br>8021 Zürich<br>Tel. 044 298 63 00<br>Fax 044 298 62 50<br>info@sanitas.com<br>www.sanitas.com,610687,7601003156683,X,X
1577,Sanagate AG,Tribschenstrasse 21<br>Postfach 2568<br>6002 Luzern<br>Tel. 0800 347 358<br>Fax 058 911 80 33<br>office.de@sanagate.ch<br>www.sanagate.ch,<br>,<br>,X,<br>
